a,b,c,d,out1,out2,out3,out4
0.0,-0.5,-0.5,-0.5,998.0,1002.0,997.0,1003.0
0.0,-0.5,-0.5,-0.4,998.2,1001.8,996.8,1003.2
0.0,-0.5,-0.5,-0.3,998.4,1001.6,996.6,1003.4
0.0,-0.5,-0.5,-0.19999999999999996,998.6,1001.4,996.4,1003.6
0.0,-0.5,-0.5,-0.09999999999999998,998.8,1001.2,996.2,1003.8
0.0,-0.5,-0.5,0.0,999.0,1001.0,996.0,1004.0
0.0,-0.5,-0.5,0.10000000000000009,999.2,1000.8,995.8,1004.2
0.0,-0.5,-0.5,0.20000000000000007,999.4,1000.6,995.6,1004.4
0.0,-0.5,-0.5,0.30000000000000004,999.6,1000.4,995.4,1004.6
0.0,-0.5,-0.5,0.4,999.8,1000.2,995.2,1004.8
0.0,-0.5,-0.5,0.5,1000.0,1000.0,995.0,1005.0
0.0,-0.5,-0.4,-0.5,997.7,1002.3,997.3,1002.7
0.0,-0.5,-0.4,-0.4,997.9000000000001,1002.0999999999999,997.0999999999999,1002.9000000000001
0.0,-0.5,-0.4,-0.3,998.1,1001.9,996.9,1003.1
0.0,-0.5,-0.4,-0.19999999999999996,998.3000000000001,1001.6999999999999,996.6999999999999,1003.3000000000001
0.0,-0.5,-0.4,-0.09999999999999998,998.5,1001.5,996.5,1003.5
0.0,-0.5,-0.4,0.0,998.7,1001.3,996.3,1003.7
0.0,-0.5,-0.4,0.10000000000000009,998.9000000000001,1001.0999999999999,996.0999999999999,1003.9000000000001
0.0,-0.5,-0.4,0.20000000000000007,999.1,1000.9,995.9,1004.1
0.0,-0.5,-0.4,0.30000000000000004,999.3000000000001,1000.6999999999999,995.6999999999999,1004.3000000000001
0.0,-0.5,-0.4,0.4,999.5,1000.5,995.5,1004.5
0.0,-0.5,-0.4,0.5,999.7,1000.3,995.3,1004.7
0.0,-0.5,-0.3,-0.5,997.4,1002.6,997.6,1002.4
0.0,-0.5,-0.3,-0.4,997.6,1002.4,997.4,1002.6
0.0,-0.5,-0.3,-0.3,997.8,1002.2,997.2,1002.8
0.0,-0.5,-0.3,-0.19999999999999996,998.0,1002.0,997.0,1003.0
0.0,-0.5,-0.3,-0.09999999999999998,998.1999999999999,1001.8000000000001,996.8000000000001,1003.1999999999999
0.0,-0.5,-0.3,0.0,998.4,1001.6,996.6,1003.4
0.0,-0.5,-0.3,0.10000000000000009,998.6,1001.4,996.4,1003.6
0.0,-0.5,-0.3,0.20000000000000007,998.8,1001.2,996.2,1003.8
0.0,-0.5,-0.3,0.30000000000000004,999.0,1001.0,996.0,1004.0
0.0,-0.5,-0.3,0.4,999.1999999999999,1000.8000000000001,995.8000000000001,1004.1999999999999
0.0,-0.5,-0.3,0.5,999.4,1000.6,995.6,1004.4
0.0,-0.5,-0.19999999999999996,-0.5,997.1,1002.9,997.9,1002.1
0.0,-0.5,-0.19999999999999996,-0.4,997.3000000000001,1002.6999999999999,997.6999999999999,1002.3000000000001
0.0,-0.5,-0.19999999999999996,-0.3,997.5,1002.5,997.5,1002.5
0.0,-0.5,-0.19999999999999996,-0.19999999999999996,997.7,1002.3,997.3,1002.7
0.0,-0.5,-0.19999999999999996,-0.09999999999999998,997.9,1002.1,997.1,1002.9
0.0,-0.5,-0.19999999999999996,0.0,998.1,1001.9,996.9,1003.1
0.0,-0.5,-0.19999999999999996,0.10000000000000009,998.3000000000001,1001.6999999999999,996.6999999999999,1003.3000000000001
0.0,-0.5,-0.19999999999999996,0.20000000000000007,998.5,1001.5,996.5,1003.5
0.0,-0.5,-0.19999999999999996,0.30000000000000004,998.7,1001.3,996.3,1003.7
0.0,-0.5,-0.19999999999999996,0.4,998.9,1001.1,996.1,1003.9
0.0,-0.5,-0.19999999999999996,0.5,999.1,1000.9,995.9,1004.1
0.0,-0.5,-0.09999999999999998,-0.5,996.8,1003.2,998.2,1001.8
0.0,-0.5,-0.09999999999999998,-0.4,997.0,1003.0,998.0,1002.0
0.0,-0.5,-0.09999999999999998,-0.3,997.1999999999999,1002.8000000000001,997.8000000000001,1002.1999999999999
0.0,-0.5,-0.09999999999999998,-0.19999999999999996,997.4,1002.6,997.6,1002.4
0.0,-0.5,-0.09999999999999998,-0.09999999999999998,997.5999999999999,1002.4000000000001,997.4000000000001,1002.5999999999999
0.0,-0.5,-0.09999999999999998,0.0,997.8,1002.2,997.2,1002.8
0.0,-0.5,-0.09999999999999998,0.10000000000000009,998.0,1002.0,997.0,1003.0
0.0,-0.5,-0.09999999999999998,0.20000000000000007,998.1999999999999,1001.8000000000001,996.8000000000001,1003.1999999999999
0.0,-0.5,-0.09999999999999998,0.30000000000000004,998.4,1001.6,996.6,1003.4
0.0,-0.5,-0.09999999999999998,0.4,998.5999999999999,1001.4000000000001,996.4000000000001,1003.5999999999999
0.0,-0.5,-0.09999999999999998,0.5,998.8,1001.2,996.2,1003.8
0.0,-0.5,0.0,-0.5,996.5,1003.5,998.5,1001.5
0.0,-0.5,0.0,-0.4,996.7,1003.3,998.3,1001.7
0.0,-0.5,0.0,-0.3,996.9,1003.1,998.1,1001.9
0.0,-0.5,0.0,-0.19999999999999996,997.1,1002.9,997.9,1002.1
0.0,-0.5,0.0,-0.09999999999999998,997.3,1002.7,997.7,1002.3
0.0,-0.5,0.0,0.0,997.5,1002.5,997.5,1002.5
0.0,-0.5,0.0,0.10000000000000009,997.7,1002.3,997.3,1002.7
0.0,-0.5,0.0,0.20000000000000007,997.9,1002.1,997.1,1002.9
0.0,-0.5,0.0,0.30000000000000004,998.1,1001.9,996.9,1003.1
0.0,-0.5,0.0,0.4,998.3,1001.7,996.7,1003.3
0.0,-0.5,0.0,0.5,998.5,1001.5,996.5,1003.5
0.0,-0.5,0.10000000000000009,-0.5,996.2,1003.8,998.8,1001.2
0.0,-0.5,0.10000000000000009,-0.4,996.4000000000001,1003.5999999999999,998.5999999999999,1001.4000000000001
0.0,-0.5,0.10000000000000009,-0.3,996.6,1003.4,998.4,1001.6
0.0,-0.5,0.10000000000000009,-0.19999999999999996,996.8000000000001,1003.1999999999999,998.1999999999999,1001.8000000000001
0.0,-0.5,0.10000000000000009,-0.09999999999999998,997.0,1003.0,998.0,1002.0
0.0,-0.5,0.10000000000000009,0.0,997.2,1002.8,997.8,1002.2
0.0,-0.5,0.10000000000000009,0.10000000000000009,997.4000000000001,1002.5999999999999,997.5999999999999,1002.4000000000001
0.0,-0.5,0.10000000000000009,0.20000000000000007,997.6,1002.4,997.4,1002.6
0.0,-0.5,0.10000000000000009,0.30000000000000004,997.8000000000001,1002.1999999999999,997.1999999999999,1002.8000000000001
0.0,-0.5,0.10000000000000009,0.4,998.0,1002.0,997.0,1003.0
0.0,-0.5,0.10000000000000009,0.5,998.2,1001.8,996.8,1003.2
0.0,-0.5,0.20000000000000007,-0.5,995.9,1004.1,999.1,1000.9
0.0,-0.5,0.20000000000000007,-0.4,996.1,1003.9,998.9,1001.1
0.0,-0.5,0.20000000000000007,-0.3,996.3,1003.7,998.7,1001.3
0.0,-0.5,0.20000000000000007,-0.19999999999999996,996.5,1003.5,998.5,1001.5
0.0,-0.5,0.20000000000000007,-0.09999999999999998,996.6999999999999,1003.3000000000001,998.3000000000001,1001.6999999999999
0.0,-0.5,0.20000000000000007,0.0,996.9,1003.1,998.1,1001.9
0.0,-0.5,0.20000000000000007,0.10000000000000009,997.1,1002.9,997.9,1002.1
0.0,-0.5,0.20000000000000007,0.20000000000000007,997.3,1002.7,997.7,1002.3
0.0,-0.5,0.20000000000000007,0.30000000000000004,997.5,1002.5,997.5,1002.5
0.0,-0.5,0.20000000000000007,0.4,997.6999999999999,1002.3000000000001,997.3000000000001,1002.6999999999999
0.0,-0.5,0.20000000000000007,0.5,997.9,1002.1,997.1,1002.9
0.0,-0.5,0.30000000000000004,-0.5,995.6,1004.4,999.4,1000.6
0.0,-0.5,0.30000000000000004,-0.4,995.8000000000001,1004.1999999999999,999.1999999999999,1000.8000000000001
0.0,-0.5,0.30000000000000004,-0.3,996.0,1004.0,999.0,1001.0
0.0,-0.5,0.30000000000000004,-0.19999999999999996,996.2,1003.8,998.8,1001.2
0.0,-0.5,0.30000000000000004,-0.09999999999999998,996.4,1003.6,998.6,1001.4
0.0,-0.5,0.30000000000000004,0.0,996.6,1003.4,998.4,1001.6
0.0,-0.5,0.30000000000000004,0.10000000000000009,996.8000000000001,1003.1999999999999,998.1999999999999,1001.8000000000001
0.0,-0.5,0.30000000000000004,0.20000000000000007,997.0,1003.0,998.0,1002.0
0.0,-0.5,0.30000000000000004,0.30000000000000004,997.2,1002.8,997.8,1002.2
0.0,-0.5,0.30000000000000004,0.4,997.4,1002.6,997.6,1002.4
0.0,-0.5,0.30000000000000004,0.5,997.6,1002.4,997.4,1002.6
0.0,-0.5,0.4,-0.5,995.3,1004.7,999.7,1000.3
0.0,-0.5,0.4,-0.4,995.5,1004.5,999.5,1000.5
0.0,-0.5,0.4,-0.3,995.6999999999999,1004.3000000000001,999.3000000000001,1000.6999999999999
0.0,-0.5,0.4,-0.19999999999999996,995.9,1004.1,999.1,1000.9
0.0,-0.5,0.4,-0.09999999999999998,996.0999999999999,1003.9000000000001,998.9000000000001,1001.0999999999999
